Name,Test Accuracy,Precision,Recall,F1-score,TN,FP,TP,FN,N Rounds,Execution time NoCV  (s),Execution time  (s),Round/s
PerpetualBooster,98.44,99.11,97.76,98.43,21945,195,21796,499,34,2.04,2.04,16.6565
StochasticGradientDescent,86.25,86.27,86.34,86.3,19077,3063,19249,3046,,0.73,31.43,
CategoricalNaiveBayes,57.54,56.72,64.9,60.54,11099,11041,14470,7825,,0.12,0.12,
KNeighbors,97.07,97.74,96.39,97.06,21644,496,21490,805,,1.02,261.14,
NearestCentroid,67.61,65.95,73.26,69.41,13707,8433,16334,5961,,0.02,0.02,
LinearSVC,87.22,86.63,88.14,87.38,19107,3033,19651,2644,50,2.15,20.23,23.245
DecisionTree,97.45,97.82,97.08,97.45,21658,482,21645,650,,0.59,64.46,
RandomForest,97.89,98.71,97.07,97.88,21857,283,21642,653,100,14.43,615.19,6.9314
ExtraTrees,97.92,98.74,97.08,97.91,21864,276,21645,650,50,3.83,224.55,13.0412
MultiLayerPerceptron,92.29,92.47,92.14,92.3,20468,1672,20542,1753,125,99.01,6774.71,1.2625
GradientBoosting,96.44,96.4,96.51,96.46,21337,803,21518,777,750,112.4,9041.18,6.6727
HistGradientBoosting,97.91,98.33,97.48,97.91,21772,368,21733,562,400,7.42,1711.77,53.9447
AdaBoost,92.25,91.72,92.94,92.33,20270,1870,20722,1573,500,47.91,740.55,10.436
XGBoost,98.33,98.95,97.70,98.33,21910,230,21783,512,350,3.06,205.61,114.3326
LightGBM,98.16,98.71,97.61,98.16,21855,285,21762,533,700,3.37,450.95,207.6385
CatBoost,94.82,93.91,95.89,94.89,20754,1386,21379,916,250,6.42,1320.13,38.9166
NGBoost,90.39,90.31,90.57,90.44,19973,2167,20193,2102,300,107.12,998.83,2.8007
StarBoost,91.69,90.9,92.72,91.8,20071,2069,20671,1624,900,136.66,136.66,6.5858
TransBoost,97.78,98.14,97.41,97.78,21729,411,21718,577,850,285.61,285.61,2.9761
NeuralNetwork,82.69,82.66,82.88,82.77,18265,3875,18477,3818,22,86.84,86.84,0.2534
